d_model,dropout,monte_carlo_N,use_monte_carlo_sim,no_mc_fill_val,gamma,episodes_to_train,gae_lambda,ppo_eps,ppo_batch,ppo_epochs,svc_path,use_true_reward,reward_params,agent_params,critic_params,expert_model_params,score
1500,0.0,10,True,0.0,0.97,19,0.9126843203450064,0.2,1,10,./model_dir/dopamine_activity_clf.pkl,False,"{'num_layers': 2, 'd_model': 483, 'unit_type': 'lstm', 'demo_batch_size': 256, 'irl_alg_num_iter': 9, 'use_attention': False, 'bidirectional': True, 'dropout': 0.8463124535768505, 'optimizer': 'adam', 'optimizer__global__weight_decay': 0.012536971491294213, 'optimizer__global__lr': 0.005940343723761342}","{'unit_type': 'gru', 'num_layers': 1, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0008285311763978988, 'optimizer__global__lr': 0.001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.013729528906332032, 'optimizer__global__lr': 0.4527391991788818}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.492
1500,0.0,6,True,0.0,0.97,11,0.992973651152939,0.2,1,8,./model_dir/dopamine_activity_clf.pkl,False,"{'num_layers': 3, 'd_model': 847, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 9, 'use_attention': False, 'bidirectional': True, 'dropout': 0.8291486158980681, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.001236516445710446, 'optimizer__global__lr': 0.00017257298262927562}","{'unit_type': 'gru', 'num_layers': 1, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.048096354537337724, 'optimizer__global__lr': 0.001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.023564708574338584, 'optimizer__global__lr': 0.048597775414579956}","{'model_dir': './model_dir/expert_rnn_bin', 'd_model': 128, 'rnn_num_layers': 2, 'dropout': 0.8, 'is_bidirectional': True, 'unit_type': 'lstm'}",0.42
